id,loss
250000,7.943257951956926
250001,5.289722983480433
250002,8.230418818898336
250003,7.609962049644236
250004,6.800013369188798
250005,8.52721260264306
250006,8.565771721740237
250007,6.468576755967936
250008,7.4640803563362494
250009,7.763384190652461
250010,5.468795115063859
250011,7.026306708293895
250012,5.599592129558998
250013,6.472326360038226
250014,9.36022974591718
250015,4.5337672650106935
250016,6.803814239258051
250017,6.947206602908848
250018,5.448176972197656
250019,6.015536622759308
250020,7.233081084291702
250021,7.836709597434574
250022,7.304128258448318
250023,7.626627215473739
250024,5.330440925402582
250025,7.3558112580968
250026,8.324886179191452
250027,5.243886725723654
250028,7.524505701427962
250029,6.9225846227622
250030,6.883311372259112
250031,6.593540095976289
250032,5.603158960238999
250033,5.160251184516682
250034,7.421218015716585
250035,7.891991736684212
250036,6.408787116440704
250037,8.41502500311362
250038,5.59624297652709
250039,6.080694450031059
250040,7.949286121399306
250041,6.021739037531882
250042,7.248138894327961
250043,8.287446192465652
250044,5.225923870213384
250045,7.211782570264785
250046,6.772293808198622
250047,6.022805412133154
250048,8.626591022192255
250049,5.623191631625121
250050,6.802352984460488
250051,8.797417572265749
250052,8.523618930565483
250053,7.068653918246525
250054,5.387926854036922
250055,6.702383213521718
250056,6.17670948302659
250057,7.701078413488215
250058,7.394709951214875
250059,6.891089591177943
250060,6.608123735629157
250061,6.665133162484782
250062,6.210989257558699
250063,6.8711089756187285
250064,5.964889248060402
250065,5.285710707951338
250066,5.526153314781675
250067,4.916381458908598
250068,6.46994021016347
250069,5.025220073421088
250070,6.438049856978159
250071,6.044436595220888
250072,8.384230048395285
250073,6.084139843675382
250074,7.141464501982653
250075,4.8357370244857805
250076,7.5606876213040755
250077,4.323923968576489
250078,5.480234512084857
250079,5.890111772141736
250080,6.120170844907564
250081,9.993308717900238
250082,9.983620078466156
250083,7.182066615948818
250084,6.605390544131076
250085,8.287707270155776
250086,6.8660490113289985
250087,6.414434123547462
250088,5.000532518644793
250089,7.751535099761742
